goods_id,goods_image,goods_name,goods_price,id,sales_volume,attr_name,example_img,counter_price,engName,chiName,name,code,sub_name
1Qq,https://img.xinxinapp.net/community/imgs/20190906/95522f74080e635891960e0116096604_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #301/Mae Coral,--,9pBo,61.0,,,,Gucci,古驰,碎花唇膏,301,Mae Coral
1Qq,https://img.xinxinapp.net/community/imgs/20190906/bc7190006581484c7cfa32f2f86d2ffd_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g 402/Vantine Fuchsia,--,NyGV,61.0,,,,Gucci,古驰,碎花唇膏,,Vantine Fuchsia
1Qq,https://img.xinxinapp.net/community/imgs/20190906/8633f8911af61d93a86416b567dca585_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #602/Wife vs. Secretary,--,gDQq,61.0,,,,Gucci,古驰,碎花唇膏,602,Wife vs Secretary
l5m,https://img.xinxinapp.net/community/imgs/20190906/d55832674bd8ec55223f217ba023c606_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #100/Linda Beige,--,zqxz,36.0,,,,Gucci,古驰,金管唇膏,100,Linda Beige
l5m,https://img.xinxinapp.net/community/imgs/20190906/61234baa79f094a4267480e223d41a64_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #105/Susan Nude,--,EGR0,36.0,,,,Gucci,古驰,金管唇膏,105,Susan Nude
l5m,https://img.xinxinapp.net/community/imgs/20190906/798b8083df3dfcd4283d0c25e8ac6a91_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #108/Cimarron,--,XKee,36.0,,,,Gucci,古驰,金管唇膏,108,Cimarron
l5m,https://img.xinxinapp.net/community/imgs/20190906/eaec381dce45dccdbeb519a132fa4250_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #201/The Painted Veil,--,Y2yx,36.0,,,,Gucci,古驰,金管唇膏,201,The Painted Veil
l5m,https://img.xinxinapp.net/community/imgs/20190906/1b36d08cb6298c6577d799d26a5a10ba_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #300/Sadie Firelight,--,aPO8,36.0,,,,Gucci,古驰,金管唇膏,300,Sadie Firelight
l5m,https://img.xinxinapp.net/community/imgs/20190906/07fb37d50540702947750449cb517712_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #400/Kimberley Rose,--,mYr2,36.0,,,,Gucci,古驰,金管唇膏,400,Kimberley Rose
l5m,https://img.xinxinapp.net/community/imgs/20190906/910297c830bbed333532b0778833d64e_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #403/Love Before Breakfast,--,Gzn0,36.0,,,,Gucci,古驰,金管唇膏,403,Love Before Breakfast
