goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,engName,chiName,Name,size
n5a,https://img.xinxinapp.net/community/imgs/20190612/676c19c89b2fb09cf154d2ea94ad9e33_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BURBERRY/博柏利 Brit Sheer 红粉恋歌女士香水 50ml,193,xinxin://www.xinxinapp.cn?route=goodsDetail&id=3XQg&goods_id=n5a&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,3XQg,29.0,BURBERRY,博柏利,Brit Sheer 红粉恋歌女士香水,50.0
vJE,https://img.xinxinapp.net/community/imgs/20190611/eb7cb9ea2ed22ae1d05b106d7e0c7d87_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 甜心小姐香水 50ml（淡香）,399,xinxin://www.xinxinapp.cn?route=goodsDetail&id=6pb2&goods_id=vJE&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,6pb2,12.0,DIOR,迪奥,甜心小姐香水,50.0
o6Z,https://img.xinxinapp.net/community/imgs/20190612/df625d8c5bfd55aaf12809ed79f4f6c2_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Miu Miu/缪缪 同名 Miu Miu女士香水（红盖） 50ml,377,xinxin://www.xinxinapp.cn?route=goodsDetail&id=ol21&goods_id=o6Z&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,ol21,14.0,Miu Miu,缪缪,同名 Miu Miu女士香水（红盖）,50.0
Jdr,https://img.xinxinapp.net/community/imgs/20190723/294d66af1a24c2b83b5227f625728466_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Chloé/蔻依 Love Story爱情故事香水EDP 50ml,373,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nDLY&goods_id=Jdr&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nDLY,0.0,Chloé,蔻依,Love Story爱情故事香水EDP,50.0
O1J,https://img.xinxinapp.net/community/imgs/20190610/4bf9df542619696a17769977907d4f2f_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BVLGARI/宝格丽 水能量（碧蓝）男士淡香水 100ml,358,xinxin://www.xinxinapp.cn?route=goodsDetail&id=G633&goods_id=O1J&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,G633,38.0,BVLGARI,宝格丽,水能量（碧蓝）男士淡香水,100.0
XpP,https://img.xinxinapp.net/community/imgs/20190611/30f8f343f8151d4c8e411d2a7986d40a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 小熊宝宝中性香水 100ml,450,xinxin://www.xinxinapp.cn?route=goodsDetail&id=ok2N&goods_id=XpP&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,ok2N,4.0,GIVENCHY,纪梵希,小熊宝宝中性香水,100.0
yEL,https://img.xinxinapp.net/community/imgs/20190612/6f2e3ee9383e674b73740af9ab539c63_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BURBERRY/博柏利 London 伦敦男士淡香水（新伦敦） 100ml,349,xinxin://www.xinxinapp.cn?route=goodsDetail&id=lvJz&goods_id=yEL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,lvJz,27.0,BURBERRY,博柏利,London 伦敦男士淡香水（新伦敦）,100.0
voE,https://img.xinxinapp.net/community/imgs/20190612/9788456c5f9c4f6889c4e46ba83b7542_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BVLGARI/宝格丽 活力海洋海蓝男士淡香水 100ml,341,xinxin://www.xinxinapp.cn?route=goodsDetail&id=N1yP&goods_id=voE&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,N1yP,14.0,BVLGARI,宝格丽,活力海洋海蓝男士淡香水,100.0
RPn,https://img.xinxinapp.net/community/imgs/20190612/54833ffcce7b91ccd8f72dd53302b50b_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,VERSACE/范思哲 同名经典男士香水 100ml,349,xinxin://www.xinxinapp.cn?route=goodsDetail&id=aL5r&goods_id=RPn&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,aL5r,54.0,VERSACE,范思哲,同名经典男士香水,100.0
0qg,https://img.xinxinapp.net/community/imgs/20190612/d5405d8d6756a5d9470a44210af64c68_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ANNA SUI/安娜苏 独角兽女士淡香水 50ml,322,xinxin://www.xinxinapp.cn?route=goodsDetail&id=3XGD&goods_id=0qg&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,3XGD,52.0,ANNA SUI,安娜苏,独角兽女士淡香水,50.0
