goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
a3e,https://img.xinxinapp.net/community/imgs/20190904/2f68f4b60e197765eb889a2734cf3814_2000x2000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,LA MER/海蓝之谜 鎏光焕变蜜粉8g 透明色,621,xinxin://www.xinxinapp.cn?route=goodsDetail&id=gDR3&goods_id=a3e&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,gDR3,0.0,透明色,https://img.xinxinapp.net/community/imgs/20190904/5561ddaa66631775d14258dccd50854b_83x79.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,760.0,621,621.0
0mER,https://img.xinxinapp.net/community/imgs/20191030/6705e189bcda06221483eb9911af3904_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 清晰无痕蜜粉饼 6.2g,272,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Ok7G&goods_id=0mER&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Ok7G,0.0,,,,,
Ol6,https://img.xinxinapp.net/community/imgs/20190829/2ec79cedfe20ec0d3acb1d5c92c19ef3_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 流光美肌轻透蜜粉 10g,205,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rQbQ&goods_id=Ol6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,rQbQ,8.0,10g,https://img.xinxinapp.net/community/imgs/20190829/05de9869284087e7a966777583267be4_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,4000.0,205,205.0
o27,https://img.xinxinapp.net/community/imgs/20190611/ee38376c590f75bea2f1e77144395f80_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 轻盈蜜粉 #20,420,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5wvn&goods_id=o27&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,5wvn,0.0,,,,,
o27,https://img.xinxinapp.net/community/imgs/20190611/abeb362d15f3af24cba2f57ce23ba999_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 轻盈蜜粉 #10,420,xinxin://www.xinxinapp.cn?route=goodsDetail&id=PdYp&goods_id=o27&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,PdYp,0.0,,,,,
qBe,https://img.xinxinapp.net/community/imgs/20190614/733b6ef086982096ab31c4518f6b4986_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CPB/肌肤之钥 亮采柔肤粉10g #14,459,xinxin://www.xinxinapp.cn?route=goodsDetail&id=PBAr&goods_id=qBe&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,PBAr,4.0,#14,https://img.xinxinapp.net/community/imgs/20190617/72fee644560a22b7c1a3dbf7879a4566_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,700.0,459,459.0
GlL,https://img.xinxinapp.net/community/imgs/20190829/f6f01450626d193570e8da79b0e2dec1_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHARLOTTE  TILBURY 无暇清透持久蜜粉定妆粉饼 1#Fair一白（适合偏白肤色）,360,xinxin://www.xinxinapp.cn?route=goodsDetail&id=8mQZ&goods_id=GlL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,8mQZ,0.0,1#Fair一白（适合偏白肤色）,https://img.xinxinapp.net/community/imgs/20190829/0d974b35c445b6bfc8f7d34212b58096_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,348.0,360,360.0
VmR,https://img.xinxinapp.net/community/imgs/20190813/e42af989b377d144d8db819c5a8e064a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 流光美肌轻透散粉 10g,275,xinxin://www.xinxinapp.cn?route=goodsDetail&id=RNPX&goods_id=VmR&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,RNPX,0.0,10g,https://img.xinxinapp.net/community/imgs/20190813/efcd92afb831b7e6c539bf2cc9869462_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,299.0,275,275.0
GlL,https://img.xinxinapp.net/community/imgs/20190829/d4bdbe9dc1d6e4b022dd866ecf867599_750x750.png?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHARLOTTE  TILBURY 无暇清透持久蜜粉定妆粉饼 2#Medium二白（适合偏黄或较深肤色））,268,xinxin://www.xinxinapp.cn?route=goodsDetail&id=0Gp7&goods_id=GlL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,0Gp7,0.0,2#Medium二白（适合偏黄或较深肤色））,https://img.xinxinapp.net/community/imgs/20190829/8b73be83b0f98ebb37b13c14663f898c_750x750.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,348.0,268,268.0
lgKl,https://img.xinxinapp.net/community/imgs/20191203/19d64f8a2ced12694bcd0f4896ed7de1_225x225.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,露华浓 粉底液奶油肌 #120米白色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=ReVn&goods_id=lgKl&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,ReVn,0.0,,,,,
lgKl,https://img.xinxinapp.net/community/imgs/20191203/714654662fd1184f51a94d19d344d787_225x225.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,露华浓 粉底液奶油肌 #200自然色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=NezP&goods_id=lgKl&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,NezP,0.0,,,,,
